title,description,categories
ابزارها و شیوه‌های جنگ نرم,«ابزارها و شیوه‌های جنگ نرم» نوشته محمدرضا نایبی پور و محمد کربلایی تاج‌الدین و حسن محمدنژاد از مجموعه کتاب‌های «یادداشت‌های موضوعی در حوزه جنگ نرم» است که در آنها سعی شده است با بررسی و تشریح ابعاد جنگ نرم به ارتقاء آگاهی عمومی در این حوزه کمک کند.این کتاب نیز به ابزارها و شیوه های جنگ نرم پرداخته است.,جامعه‌شناسی
پپر و گل‌های کاغذی,"«پپر و گل‌های کاغذی» مجموعه داستان کوتاه مسعود میناوی نویسنده معاصر (۱۳۱۹-۱۳۸۷) است.

در بخشی از داستان «پپر، تابستان و گل‌های کاغذی» از این کتاب می‌خوانیم:

چشم که باز کرد، فضای دور و برش محو و مه‌آلود بود. سرش سنگینی می‌کرد و گوشش پر از صدا بود. پلک‌ها را هم گذاشت. دوباره باز کرد. نگاهش، جان‌دارتر، مه مواج روبه‌رو را برید. در پرده‌ی نازک مه روبه‌رویش، پایش باندپیچی شده و از چنگک‌هایی آویزان بود. خیره ماند. در ذهن خسته‌ی خواب‌آلودش گشت به‌دنبال رشته‌ی گم‌شده‌ای در کلاف گمِ خاطرش. دوباره درد در تنش پیچید لب‌های زردش را لرزاند و پلک‌های خسته‌اش را خواباند. در گذرانی تند، درد رهایش ساخت. بعد از رخوتی مغزش شرع به کار کرد. گُله‌های خون را می‌دید که به دیوار مانده بودند. صدای شلیک مسلسل، صدای وحشتناک، آژیر و همهمه‌ی جمعیت یادش آمد. ستونی از درد روبه‌رویش از چنگک آویزان بود و او به انتهایش وصل بود. درد شدید و خشن آمد، به‌طوری‌که حس کرد تمام گوشت‌های پا و رانش ریخت و استخوان خشک و زرد و کثیفی نمایان شد. توی استخوان، دستی بدکار، با خشونت، میله‌ی‌ بلند و سوزانی را فرو می‌کرد. مغزش تیر می‌کشید. حالا یورش درد از ناحیه لگن‌خاصره و کمر راه افتاد و پیچید تا بین شانه‌ها گم شد. صدای آژیر، تیز و آزاردهنده، می‌آمد. در تمام طول شب، کسانی که در اطاق‌های دیگر بودند، صدای فریادش را می‌شنیدند. مرد عینکی قدکوتاهِ سفیدچهره‌ای از پرستار شب پرسید: «کجاش تیر خورده؟»

«مگه نمی‌بینی، یه‌بند داره درد می‌کشه؟ حتماً یه جاش تیر خورده دیگه که...»

عینکی، آهسته، گفت: «خیلی درد داره... خب... خب... یه کاریش بکنین!» و بعد با صدایی ترسیده پرسید: «نمی‌میره که؟»",داستان کوتاه
امام علی علیه‌السلام (مجموعه چهارده معصوم ۲),کتاب «امام علی علیه السلام» از مجموعه چهارده معصوم انشارات جمکران، کودکان و نوجوانان را با زندگانی این امام بزرگوار آشنا می‌سازد.,داستان کودک و نوجوانان
پیش‌گوی ارتباطات,"«پیش‌گویِ ارتباطات» نوشته سجاد کردانی(-۱۳۶۸) است. این کتاب مروری بر زندگی و اندیشه‌ی مارشال مک‌لوهان، نظریه‌پرداز ارتباطات است که توانسته پیش‌بینی‌هایی در خصوص مسایل ارتباطی داشته باشد که امروزه درست از آب درآمده‌اند.
در بخشی از کتاب می‌خوانیم:
 سال‌ها پیش«مارشال مک‌لوهان» نظریه‌پرداز کانادایی، نظریاتی را مطرح کرد که آینده‌ی علم ارتباطات را تحت تاثیر قرار داد و بعدها بسیاری از مباحث، بر مبنای نظریه‌ی او بیان گردید. در حقیقت بهتر است بگوییم مارشال اعتقاد دارد باید به گذشته‌ها نگریست و از آن به‌نفع آینده بهره‌برداری نمو.  هرچند پسر وی «اریک مک‌لوهان» معتقد است پدرش نه آن‌که هرگز آینده را پیش‌بینی نکرد، بلکه هیچ تلاشی هم در این‌باره صورت نداد. در واقع نکته‌ی اصلی این‌جاست که مک‌لوهان زمانِ حال را در ارتباط با آینده بیان نکرد و بیشتر از زمان حال به‌عنوان نتیجه و پی‌آمد گذشته یاد کرده است. آن‌چه که مک‌لوهان به‌عنوان «آیینه عقب‌نما» نام می‌برد به‌همین نکته اشاره دارد. بر این اساس می‌توان گفت که جامعه و افراد زمانی‌که با یک موقعیت جدید روبه‌رو می‌شوند، تلاش می‌کنند تا خود را به موضوعات گذشته مرتبط سازند. در واقع مک‌لوهان سعی نمود تا نظریاتی بر پایه‌ی شواهد تاریخی فراهم آورد. او تلاش بسیاری کرد که شیوه‌های درک رسانه را کشف نماید تا بتواند از آن برای شرایط آینده بهره گیرد. شاید همین موضوع یکی از دلایل اصلی نارضایتی وی از نقشِ خود به‌عنوان یک آینده‌نگر بوده است.",جامعه‌شناسی
دودکش بدون دود,"«دودکش بدون دود»، مجموعه داستان‌های کوتاهی از نویسندگان قرن بیستم اسپانیا است که علی اکبر فلاحی ترجمه کرده‌است. در این کتاب نویسندگانی معرفی می‌شوند که نماینده ادبیات قرن بیستم اسپانیا از دوران جنگ داخلی و استبداد فرانکو تا سال‌های آزادی اسپانیا هستند. دورانی که حاصلِ بغض و خشم سال‌های جنگ، نارضایتی و خفقان استبداد و آزادی و گشایش دموکراسی است و نسلی که حرف‌های زیادی برای گفتن دارد.
بخشی از داستان خداحافظی اثر ایگناسیو آلدِکوئا (۱۹۶۹ ـ ۱۹۲۵) را می‌خوانید:
مرد و زن در سکوت همدیگر را نگاه کردند. زن چهره‌اش را با دست‌هاش پوشاند. لوکوموتیو سوت کشید. صدای زنگ ایستگاه شنیده شد. به‌نظر رسید با سروصدای رهاشدن ترمزها، قطار هم خودش را کش داد و پیش از به راه افتادن رخوت و سستی را از تن گرفت. مرد فریاد زد:
ـ ماریا گریه نکن! همه‌چیز درست می‌شه.
زن پریشان از جاری‌شدن اشک‌هاش گفت:
ـ بشین، خوان.
در شکستگی صداش محبت، عشق، ترس و تنهایی نهفته بود. قطار راه افتاد. دست‌های زن به نشانه‌ی خداحافظی در هوا تکان می‌خورد. حالا همان خطوط اندک چهره‌اش هم زیر چین‌وچروک و سیل اشک ناپدید شده بود.
ـ خداحافظ، ماریا.
دست‌های زن به خداحافظی پاسخ می‌داد و باقی‌اش سراسر سکوتی متراکم بود. مرد برگشت. قطار از کنار انبار زهواردررفته عبور کرد و وارد مزارع شد. مردی که صاحب خیکچه بود بلند شد و گفت:
ـ بشینید این‌جا، پدرجان.
زن مسن پاهاش را کش داد. دختر جوان پرده‌ی مشمایی را پایین کشید. مردی که از جنگ حرف زده بود یک کیفِ تنباکوِ تیره، بزرگ، بادکرده و نرم درآورد، مثل پستان چهارپایان.
ـ بفرمایید، پدر جان.
زن مسن دوباره خودش را با آن مجله‌ی سینمایی باد زد و با عدم اطمینان از خودش پرسید:
ـ محصول امسال خوبه؟",داستان کوتاه
کهربایی,"در بخشی از رمان «کهربایی» نوشته هادی پارت می‌خوانید:
- دختر با آبروی من بازی نکن، هنوز نیمی از مهمان‌ها نشسته‌اَند.
در این باران کجا برای رفتن داری، اینقدر با عجله شال و کلاه می‌کُنی.
- پدرجان جشن تا ساعت هشت بود، شاید آن‌ها بخواهند تا صبح بنشینند.
دوست ندارم از خواب بیدارش کنم.
- او اگر کوچکترین علاقه‌ای به تو داشت، برای دقایقی هم که شده، در این جشن شرکت می‌کرد.
- من به دوست داشتن و نداشتن او هیچ کاری ندارم، مشکل از من است که دلم دارد برای دیدنش پَر می‌کشد.
- حالا خودت کم بودی نامزدت را هم داری باخودت می‌بری؟
- او باید حتماً همسر آینده‌اَم را ببیند.",رمان
با این صدای زنگوله گربه پیشی چه شنگوله: قصه، بازی، شادی (۵),«با این صدای زنگوله گربه پیشی چه شنگوله» نوشته مرتضی خسرو نژاد(...-۱۳۳۳) به تصویرگری اکبر نیکان پور(...-۱۳۳۵) از مجموعه کتاب‌های قصه، بازی، شادی منتشر شده است.,داستان کودک و نوجوانان
سوء قصد به ذات همایونی,"رمان «سوء قصد به ذات همایونی» نوشته رضا جولایی، نویسنده معاصر ایرانی اولین‌بار در سال ۱۳۷۴ به چاپ رسید. درون‌مایه این رمان تاریخی تقابل سنت و مدرنیته در اواسط دوران قاجار است.
اعضای یک جریان چپ‌گرای مارکسیستی در دوران استبداد صغیر قصد دارند شاه را ترور کنند. و ترور نافرجام شاه دلیلی برای سرکوب‌های شدیدتر بعدی او می‌شود. داستان در ظاهر جریان ترور محمدعلی شاه را روایت می‌کند، اما آنچه درواقع روایت می‌شود، جریان روابط اجتماعی و سنت‌های متداول در فرهنگ ایران قاجاری است.
قصد نویسنده از نگارش این اثر، نشان دادن گذار تاریخی ایران از یک جامعه کاملا سنتی و آشنایی‌اش با دنیای مدرن است. دورانی که پیشرفت‌های صنعتی غرب بر زندگی و فرهنگ ایرانی سایه انداخت. سایه‌ای که با گذشت سال‌ها هنوز بر سر ملت سنگینی می‌کند.
جولایی در این رمان، نگاهی تازه به مفهوم تاریخ در داستان‌نویسی کرده و با قدرت تخیل و شخصیت‌آفرینی‌اش جهانی ساخته است که می‌توان در آن از روح آزادی‌خواهی گرفته تا تنهایی و هراس را دید. او با قلمش ارواحی را از دل تاریخ احضار کرده است تا از یک گذشته دور سخن بگویند. گذشته‌ای که برخی از حوادث آن در تاریخ رسمی ثبت نشده‌اند و همین موضوع مجوزی برای جولایی است تا آنها را آنگونه که می‌خواهد به سخن وا دارد.
رضا جولایی متولد سال ۱۳۲۹ است و از آثار او می توان به کتاب‌های «حکایت سلسله پشت کمانان»، «جامه به خوناب»، «شب ظلمانی یلدا»، «حدیث دردکشان»، «تالار طرب‌خانه»، «جاودانگان»، «نسترن‌های صورتی»، «باران‌های سبز» و «سیماب و کیمیای جان» اشاره کرد.",رمان
چرا که نه؟! چطور مشکلات بزرگ و کوچک را حل کنیم؟,"این میکروکتاب به بررسی ۲ روش اساسی برای تولید ایده پرداخته و ۲ روش تکمیلی را هم معرفی کرده‌است.
نکته مهمی که در ایده‌پردازی باید به آن توجه کرد حل مشکلات با روشی نوآورانه است، این اثر  به معرفی ۴ ابزار کلی حل مشکل به همراه چندین مثال کاربردی موجود در جهان برای هر ابزار هم پرداخته‌است تا بتوانید ایده‌های نوین و نوآورانه خود را متناسب با حل مشکلات، ایجاد و پی‌ریزی کنید.",مدیریت و کسب و کار
الفبای بازاریابی شبکه‌ای (جلد اول),"«الفبای بازاریابی شبکه‌ای» کتابی دو جلدی است که مهارت‌های بازاریابی شبکه‌ای به عنوان یکی از روش‌های جدید بازاریابی را آموزش می‌دهد. مارک یارنل، دِرِک هال، والِری بِیتس و شِلبی هال در این کتاب آموزش می‌دهند که چطور بدون اینکه خانواده و دوستان خود را فراری دهیم به درآمد کلان برسیم.
این کتاب می‌کوشد به این پرسش‌ها پاسخ بدهد:
•آیا می‌دانید چطور یک شرکت مجاز بازاریابی شبکه‌ای را انتخاب کنید؟
•آیا فرق بین دسیسه‌ی هرمی و شرکت فروش مستقیم قانونی را می‌دانید؟
•نقش بالاشاخه‌ای در موفقیت شما چقدر است؟
•اگر دیگر دوست یا عضوی از خانواده‌تان باقی نماند که کار را به او معرفی کنید، یا نخواستید که در ابتدای کار سراغ آنها بروید، چطور باید مشتری احتمالی پیدا کنید؟
•چطور می‌توانید بدون فراری دادن اعضای خانواده و دوستان خود کسب‌وکارتان را بنا کنید؟
•بهترین راهکار برای جذب اعضای تازه چیست؟
•چطور می‌توانید بر ترس نه شنیدن غلبه کنید؟
•آیا می‌دانید چرا و چطور این‌همه زن میلیون‌ها دلار در این صنعت پول درمی‌آورند؟
•چطور می‌توانید به بهترین نحو سازمان خود را رهبری و به زیرمجموعه‌ی خود خدمت کنید؟
پاسخ این سؤال‌ها و سؤال‌ها فراوان دیگر خود را در کتاب الفبای بازارایابی شبکه‌ای (جلد ۱ و جلد ۲) بخوانید.",مدیریت و کسب و کار
مساله مهدویت: ویژگی‌های امام‌عصر (عج),"«مساله مهدویت: ویژگی‌های امام‌عصر (عج)» نوشته مسعود عالی، پژوهشگر دینی است.
در بخشی از کتاب می‌خوانیم:
«پرداختن به «مسألۀ مهدویت» صرفاً بحث و بررسی پیرامون یکی از موضوعات دینی و اسلامی در بین ده‌ها و صدها موضوع دیگر نیست، بلکه سخن گفتن از کسی است که شناختن او مایۀ رهایی از مرگ جاهلی و دل دادن به او دلبستگی به همۀ فضایل و خوبی‌ها و امید به او امیدواری به آخرین چشم‌انداز همۀ انبیا و اولیای الهی و انتظار او سرآمد همۀ اعمال و مایۀ قبولی آن‌هاست. 
پرداختن به «مسألۀ مهدویت» فقط یک ضرورت علمی و تحقیق کتابخانه‌ای نیست که صرفاً به انباشتن معلومات و اطلاعات ما بینجامد و در نهایت «جهانی بنشسته در گوشه‌ای» تحویل جامعه دهد تا در نتیجه اولیای طاغوت معادلات جهانی را رقم بزنند و فرهنگ‌های شیطانی میدان‌دار ساختن سبک زندگی کسانی شوند که بر زبان «یا حجة ابن الحسن عجل علی ظهورک» دارند، ولی در زندگی علمی، در عرصه‌های مختلف با مدل‌های غیر دینی زندگی می‌کنند، بلکه می‌خواهیم با پرداختن به این موضوع، به الگویی دست پیدا کنیم که در عمل و عینیت زندگی با آن حیات فردی و اجتماعی‌مان را تنظیم نماییم و با تشکیل حکومت دینی و فراهم کردن عِدّه و عُدهٔ آماده ظهور آن منجی عدالت گستر گردیم. 
و همین معنای «حجت» در فرهنگ دینی ماست. کسی که الگوی تام زندگی بر اساس مشیت و خواست و با بودنش هیچ عذر و بهانه‌ای در پیمودن مسیر باطل نخواهد بود. 
حجت خدا باید حضور در زندگی عینی و عملی ما پیدا کند و ما هم عرصه‌های زندگی را با او تنظیم نماییم. 
به هر میزان که او در زندگی فردی و جمعی ما حاضر باشد ما منتظریم و همین معیار خوبی است که درصد خلوصمان را با آن محک بزنیم. ان‌شاءالله منتظر باشیم.»
این کتاب از مجموعه مباحث مطرح شده در برنامه تلویزیونی «سمت خدا» منتشر شده است.",کلیات اسلام
کاری که ضروری است انجام بده!,"«کاری که ضروری است انجام بده!» اثر باب نلسون و ترجمه‌ی شهروز فرهنگ و منصور سجاد است. در بخشی از این کتاب‌ می‌خوانیم:‌ 
«در حقیقت، هیچ شرکتی را نمی‌شناسم، که بتواند با کارمندهایی که فقط آنچه را که به آن‌ها گفته شود، انجام دهند، به بقای خود ادامه دهد. محیط رقابت، میزان تغییرات و سرعت تجارت امروز در بسیاری از بازارها، به حدی جدی و فشرده است که به کارمند اجازه نمی‌دهد به این شیوه عمل کند. شرکتی که از کارمندانش انتظار دارد فقط کارهایی انجام دهند که از آن‌ها خواسته می‌شود دیر یا زود در سراشیبی سقوط و ورشکستگی قرار می‌گیرد».",مدیریت و کسب و کار
سودآوری موزمن,"شما می‌خواهید شرکتتان چنان سودآور باشد که در هر شرایطی همواره بتوانید از آن پول به‌دست آورید. این موضوع را می‌توان چنین تعریف کرد: چگونه می‌توان در هر شرایطی در تمامی ماه‌های زندگی تجاری خود، پول به دست آورد؟ این کتاب به شما آموزش می‌دهد.
شما با شنیدن کتاب «سودآوری موزمن» یادمی‌گیرید چگونه هزینه‌های ثابت را کاهش دهید. سود و فروش ثابت خود را افزایش دهید و به این طریق، سودآوری مستمری داشته باشید.
شما باید روی این مسأله کار کنید و راه‌های مختلفی برای انجام آن بیابید. در واقع باید به دنبال راه‌هایی برای کاهش هزینه‌های ثابت، راه‌های بی‌شماری برای افزایش سود و راه‌هایی برای ایجاد فروش ثابتی که هر روز، هر هفته هر ماه و هر سال به دست می‌آید، باشید؛ چرا که می‌خواهید سودآوری مستمری داشته باشید تا مشکلاتتان رفع شود و شور و نشاطتان افزایش یابد.",مدیریت و کسب و کار
کافه وصال: مدیریت نامتعارف بر پدیده‌های متعارف,"«کافه وصال: مدیریت نامتعارف بر پدیده‌های متعارف» نوشته علی صادقی(-۱۳۵۸) است. این کتاب با زبانی داستانی، از زبان مدیر یک بنگاه اقتصادی، به بررسی چالش‌های مدیریتی در یک سازمان بحران‌زده می‌پردازد.
در بخشی از کتاب می‌خوانیم:
مکان‌ها و اشیا در زمان‌ها و شرایط مختلف معناهای متفاوت دارند. میزها وقتی‌ پر از بشقاب و فنجان باشند یا وقتی تنها یک گلدان رویشان باشد، صندلی‌ها وقتی پر یا خالی باشند و دستمال‌های تاخورده یا مچاله رهاشده، هرکدام معنای متفاوتی دارند. آن روز هم کافه برای من جور دیگری بود؛ مثل همیشه شلوغ نبود. جز دو میز در فضای سرپوشیده کافه و یکی دو میز در حیاط، همه میزها بی‌مشتری بود و در آن خلوتی، صداها و آدم‌ها، میزها و صندلی‌ها و حتی گل‌ها و گیاهان انگار بزرگ‌تر و برجسته‌تر به نظر می‌آمدند.
از بچه‌های کافه‌دار فقط نادر و نامزدش سیما در کافه بودند.
با احمد که پشت صندوق نشسته بود خوش‌وبش کردم و مستقیم رفتم سراغ میز خودم؛ میز ۱۹ مال وقت‌هایی بود که در حیاط کافه نمی‌نشستیم. نادر من را که دید آمد سر میزم. گفتم: «چرا این‌قدر خلوت است؟»
گفت: «هم فصل تعطیلات دانشگاه است و هم خیلی از مشتری‌ها رفته‌اند تماشای نمایشی که در خانه هنرمندان روی صحنه است و چهار روز هم بیشتر اجرا نمی‌شود.»
یادم آمد که تعداد زیادی از بلیت‌های آن نمایش را در همین کافه فروخته بودند. گفتم: «اینکه تضاد منافع است. شما برای نمایش مشتری جذب کرده‌اید اما مشتری‌های خودتان را از دست داده‌اید.» نادر خندید و گفت: «تهیه‌کننده تئاتر برادر مدیر کافه است.»",مدیریت و کسب و کار
الضرورات الدینیة والمذهبیة والفقهیة,«الضرورات الدینیة والمذهبیة والفقهیة» به قلم علی وائلی اثری به زبان عربی است که به اصول فقهی و فلسفی از منظر آموزه‌های اهل بیت می‌پردازد.,کلیات اسلام
زنان سیبیلو و مردان بی‌ریش؛ نگرانی‌های جنسیتی در مدرنیته ایرانی,"این کتاب نوشته‌ای در حوزه‌ی تاریخ مدرن ایران، علوم سیاسی و مطالعات جنسیتی است. در این کتاب مخاطب تغییر موضوع جنسیت و تمایلات جنسی همپای مدرنیته در ایران را می‌خواند. نویسنده‌، در تحقیقات خود به ردیابی آثار و بقایای به جا مانده از دوره‌ی قاجار می‌پردازد تا بلکه نشانی از جنسیت و امر جنسی پیدا کند. به همین منظور او علاوه برسفرنامه، رمان و شعر دوران قاجار، نقاشی‌ها، پارچه نوشته‌ها و تصاویر ضرب‌شده بر روی سکه ها را نیز بررسی می‌کند. این کتاب به چگونگی تحول مفاهیم کلاسیک و تاثیر آن در مدرن شدن جامعه‌ی ایران در دوره‌ی قاجار، نیز می‌پردازد.
«افسانه نجم آبادی» استاد دانشگاه هاروارد و پژوهشگر در حوزه مطالعات زنان، جنسیت و تاریخ است. او در جایی از مقدمه‌ی کتاب درباره‌ی علت انجام این پژوهش نوشته: «سال‌ها پیش در گرماگرم بحثی با مورخی که درباره‌ی تاریخ قاجار مطالعه می‌کرد، در جواب او که از محال بودن تحقیقات در زمینه‌ی زنان قاجاری به دلیل کمبود منابع تاریخی و کمبود اسناد قابل اعتماد درباره زنان آن دوره اظهار تاسف می‌کرد گفتم: اما ما اگر جنسیت را به صورت تحلیلی مطالعه کنیم، از منابع مربوط به مردان، درباره زنان هم می‌توان استفاده کرد.» این حرف بداهه ظاهرا کلیدی در ذهن او برای پژوهشی بود که بر روال پژوهش‌های عادی درباره زنان استوار نبود. این کتاب در قدم اول به زبان انگلیسی منتشر شد و سالها بعد به کوشش «آتنا کامل و ایمان واقف» ترجمه، و در ایران به چاپ رسید.",جامعه‌شناسی
فوق ستاره فروش شوید: ۲۱ روش عالی برای فروش بیشتر، سریع‌تر و آسان‌تر در بازارهای رقابتی,"برایان تریسی (   -۱۹۴۴ )، سخنران انگیزشی و نویسنده کتاب‌های پرفروش روانشناسی است. 
در «فوق ستاره فروش شوید» با این نکته آشنا می‌شویم که اگر هدف شما به عنوان کسی که در کار فروش است، فروش هرچه بیش‌تر و کسب درآمد هرچه بیش‌تر است، تبدیل شدن به یک فروشنده فوق ستاره و ماندن در حد متوسط، به یک اندازه زمان می برد؛ پس انتخاب با شما است.
برایان تریسی در این کتاب، ۲۱ ایده از قوی‌ترین ایده هایی را که تا به حال برای تاثیرگذاری در فروش یافته با مخاطبانش در میان می‌گذارد. 
او معتقد است وقتی شروع به استفاده از آنها بکنید، به اوج رشته کاری‌تان خواهید رسید.
سرفصل‌های کتاب عبارت است از:
بلندپروازی/ شجاعت/ تعهد/ حرفه ای بودن/  آماده بودن/ یادگیری مداوم/ مسئولیت پذیری/ فروش رابطه‌ای/ فروش مشاوره‌ای/ فروش آمیزشی /اعتبار ویژه/ با ایرادهایی که گرفته می شوند ، درست برخورد کنید/ فروش را نهایی کنید/ از ارزشمندترین سرمایه تان آگاه باشید/ از زمانتان درست استفاده کنید/ قانون۲۰-۸۰ است/ قیف فروش/ هدف‌های روشنی برای درآمد و فروش است/  محدوده فروشتان را درست مدیریت کنید/ هدف راز موفقیت در فروش",مدیریت و کسب و کار
سیاره آقای سملر,"«سیاره آقای سملر» نام رمانی از سال بلو، نویسنده نام‌دار آمریکایی است.
او برنده نوبل ادبی ۱۹۷۶ برای «درک شرایط انسانی و بررسی موشکافانهٔ فرهنگ معاصر» است، او همچنین جایزه پولیتزر ۱۹۷۵ را برای رمان «هدیهٔ هومبولت» و سه جایزه ملی کتاب امریکا را برای «ماجراهای اوگی مارچ»، «هرزاگ» و رمان حاضر در کارنامه ادبی‌اش دارد.
 سملرکه یک یهودی لهستانی است، مردی قدبلند، یک چشم و هفتادو چند ساله است. او به کمک یکی از اقوام نزدیکش از کمپ تبعیدی‌های سالزبورگ رهایی یافته و در نیویورک ساکن شده است. داستان حول کارهای و افکار سملر می‌گذرد. او به دانشگاه، بیمارستان، پارک و سرای مردی ثروتمند می‌رود و در سراسر این رفت‌وآمدها به تمامیت آینده‌ بشر می‌اندیشد. کوتاه کلام، «سیاره‌ آقای سملر» جدی‌ترین و درعین‌حال طنازانه‌ترین رمان سال بلو است و او با زبان سملر دیدگاه‌های خود را درباره جامعه امریکایی بیان کرده است.
همه ماجراهای رمان در سه روز اتفاق می‌افتد و بیشتر مسائل و درگیری‌های ذهنی همین شخص است که به شیوه سیال ذهن پیش می‌رود. رویدادها جسته و گریخته است یعنی مدام، زمان در ذهن سملر پس و پیش می‌رود.
سیارهٔ آقای سملر از آن دسته کتاب‌هایی است که بعد از تمام کردن رمان دوباره باید آن را از ابتدا آغاز کنید تا مفهومش را بهتر و بیشتر دریابید. در این رمان، سال بلو ما را درگیر این مسئله می‌کند که چه چیز یک جامعه را می‌سازد یا آن را از هم می‌پاشاند. چه چیزی موجب می‌شود یک تمدن، سنگ‌دلی و بی‌رحمی را بهترین راه رسیدن به امیال و آرزوها و رویارویی با ترس‌هایش بداند.",رمان
هاگاکوره: کتاب سامورایی,"«هاگاکوره» به معنای «پوشیده با برگها» و یا «برگ های پوشیده»، عنوان کتابی است که در ۱۷۱۶ از نگارش گفته های «چونه تومو» پدید آمد و شامل آیین ها و طریقت سامورایی های ژاپن است. 
کل گفتگوهای مندرج در «هاگاکوره» درباره آیین و رفتارهای سامورایی بیش از هزار و سیصد گفتار است، اما مترجم انگلیسی این کتاب در حدود سیصد عنوان از این گفتارها را که به گفته خودش جوهره کتاب هستند گزینش نموده است و چنین توضیح می دهد: «کتاب به شکل سنتی به یازده فصل و تحت عناوینی همچون احکام، گفته های امیر نائوشیگه، داستان های دیگر امارت ها و یا در فصل نهایی با عنوان وقایع بی ارتباط در فصل پیشین، تقسیم شده است. گزین گویه هایی که در این کتاب آمده است، بر گرفته از تمام فصول به جز فصل پنجم هستند، که در واقع فصلی است در خصوص ثبت وقایع تاریخی قابل توجه، مثل زادروزها، بازگشت یک امیر نابشیما از ادو و یا دیدار نویسنده کتاب از قلعه».
از موضوعات سخنان چومه تومو در کتاب می توان به مواردی مانند مرگ، گفتار و کردار، همت در کارها، اطاعت از امیران، وفاداری، آراستگی سامورایی، نیایش و ... اشاره کرد.",جامعه‌شناسی
زمستان بی‌شازده,"کتاب «زمستان بی شازده» اثر فاطمه نفری که برای گروه سنی نوجوان نوشته شده است داستان نوجوانی به نام رضا را در روزهای انقلاب نقل می‌کند که از انقلاب بیرونی به انقلاب درونی می‌رسد. رضا بنا به درخواست مهندسی، قرار است یک میکروفیلم را به دست شخصی برساند. ترس از نیروهای ساواک رضا را دچار تردید می‌کند اما لطفی که مهندس به او داشته مانع از آن است که رضا میکروفیلم را سربه نیست کند. پس تصمیم می‌گیرد آن را به دست صاحبش برساند: 
«صدای دادهای مامان که آمد، به خودم آمدم. «رضا... با توام ... دو ساعت است آنجا چه غلطی می کنی؟ ناشتایی خورده نخورده رفتی با آن کفتر ها ور می روی؟ بی برو مغازه مش رمضان ببین آقات را پیدا می کنی یا نه؟ پریدم لبه پشت بام و به حیاط نگاه کردم . مامان دست به کمر ایستاده بود و بالا را نگاه می کرد ، گفتم : من نمی روم ! همین دیروز هم به خاطر شما رفتم ، الکی گفت تلفن قطع است ! من دیگر رویم نمی شود بروم ، هر وقت قرضش را دادیم ، می روم و مثل آدم تلفن می کنم ! مامان چادر قهوه ای گل ریزش را بست دور کمرش و جارو را برداشت تا حیاط را جارو بزند.صدایش آرام تر شد.»",رمان
کتاب رنج و عشق,"«کتاب رنج و عشق» نوشته خوان-داوید نازیو(-۱۹۴۲)، روانکاو آرژانتینی است.
کتاب رنج و عشق اثر خوان - داوید نازیو درباره تجربه درد در روان‌کاوی است. واقعیت تکان‌دهنده این است که در نوشته‌های روان‌کاوانه فروید و لاکان هیچ درمان اختصاصی برای درد وجود ندارد، با اینکه درد روانی موضوع محوری و حتی علت وجودی روان‌کاوی است. از این جهت، دستاورد نازیو در کتاب رنج و عشق خلا بزرگی را در پژوهش‌های روان‌کاوانه می‌زداید و نقش مهمی در فهم ما از روان بشر ایفا می‌کند. او درون‌مایه درد را با اصطلاحات روان‌کاوانه که طی بیش از سه دهه تجربه درمانی وضع کرده شرح می‌دهد.
نازیو درد را پدیدار مرزی معرفی می‌کند (تجربه مرزی، مرز «مبهم» تن با روان، مرز اگو با دیگری، مرز هماهنگی با ناهماهنگی روان و غیره). برخورد او با درد مجموعه‌ای از ناسازه‌ها را برملا می‌کند که خرد نظری را بین گزینه‌های ظاهرا ناسازگار به حالت تعلیق درمی‌آورد. نازیو به‌طور کلی گرفتار ناسازه «حل‌نشدنی» عشق است که ما را شکل می‌دهد اما آسیب‌پذیرمان می‌کند. او می‌نویسد «عشق با اینکه شرط اساسی سرشت بشر است، همچنان مقدمه انکارناپذیر رنج ما باقی می‌ماند.»
بی‌تردید، رهیافت دقیق دکتر نازیو به درد روانی و جسمانی تحت تاثیر میراث نظریه روان‌کاوی فروید و لاکان است. برای مثال، او در کتاب از ایده عصب‌شناختی درد نزد فروید در طرحی برای یک روان‌شناسی علمی سود می‌جوید و به شرح دوباره مقولات لاکانی نمادین، خیالی و واقعی در نسبت با درد می‌پردازد. اما قرار نیست کتاب رنج و عشق رساله‌ای اکیدا فرویدی یا لاکانی باشد. در واقع، همان‌طور که نازیو می‌گوید «نوشته‌های روان‌کاوی در باب این موضوع بسیار ناچیز است. فروید و لاکان به‌ندرت به درمان آسیب‌های مربوط به درد پرداخته‌اند و هرگز مطالعه مشروحی در این باره نکرده‌اند.» بنابراین، کتاب تا حد زیادی گلاویزشدنی نوآورانه و اصیل با درد در حد و مرزهای آن است.",جامعه‌شناسی
